sweep delta
6181 3.6658274395012995
6211 3.641290120918711
6241 3.616917043560534
6271 3.5927071080659516
6301 3.568659222473798
6331 3.5447723020624835
6361 3.521045269430033
6391 3.497477054334013
6421 3.4740665937715676
6451 3.450812831768417
6481 3.4277147194734425
6511 3.404771215034998
6541 3.3819812836009078
6571 3.359343897202052
6601 3.3368580347887473
6631 3.3145226821070537
6661 3.292336831749708
6691 3.2702994830033276
6721 3.2484096418629633
6751 3.226666320981167
6781 3.205068539638887
6811 3.1836153236508835
6841 3.162305705351173
6871 3.1411387235930306
6901 3.1201134236107464
6931 3.099228857056005
6961 3.0784840819396777
6991 3.0578781625663396
7021 3.037410169483337
7051 3.0170791794807883
7081 2.9968842755260994
7111 2.9768245467348606
7141 2.956899088298087
7171 2.937107001467666
7201 2.9174473935345304
7231 2.8979193777340697
7261 2.878522073253407
7291 2.8592546051731915
7321 2.8401161044312175
7351 2.82110570777877
7381 2.802222557744244
7411 2.7834658026113175
7441 2.7648345963389147
7471 2.7463280985684833
7501 2.72794547455851
7531 2.709685895155417
7561 2.691548536764458
7591 2.673532581276959
7621 2.6556372161139734
7651 2.63786163405166
7681 2.620205033366801
7711 2.6026666176185245
7741 2.585245595764718
7771 2.5679411819874076
7801 2.550752595801896
7831 2.5336790619039675
7861 2.5167198101698887
7891 2.4998740756564075
7921 2.4831410985498223
7951 2.466520124100498
7981 2.4500104025937617
8011 2.4336111893790076
8041 2.4173217447532807
8071 2.401141333990381
8101 2.3850692272535525
8131 2.369104699602758
8161 2.3532470309728524
8191 2.3374955061008222
8221 2.3218494144894066
8251 2.3063080504362006
8281 2.2908707129390677
8311 2.2755367056961404
8341 2.260305337040336
8371 2.245175919997564
8401 2.2301477721193805
8431 2.215220215577574
8461 2.2003925770550268
8491 2.185664187738439
8521 2.171034383311053
8551 2.156502503894444
8581 2.1420678940194193
8611 2.1277299025969114
8641 2.1134878829325316
8671 2.0993411926174304
8701 2.0852891935719526
8731 2.0713312519874307
8761 2.0574667382607004
8791 2.0436950270523084
8821 2.0300154971773736
8851 2.0164275316201383
8881 2.002930517490313
8911 1.989523845986696
8941 1.97620691244083
8971 1.9629791161423782
9001 1.9498398604773683
9031 1.9367885527899489
9061 1.9238246043969411
9091 1.9109474305441836
9121 1.8981564504210837
9151 1.8854510870878585
9181 1.8728307674464304
9211 1.8602949222840834
9241 1.8478429861424956
9271 1.8354743973832228
9301 1.823188598122215
9331 1.810985034200712
9361 1.798863155177969
9391 1.7868224142948748
9421 1.7748622684375732
9451 1.762982178159291
9481 1.7511816075930255
9511 1.7394600244879257
9541 1.7278169001147035
9571 1.7162517093165661
9601 1.7047639304655604
9631 1.693353045375261
9661 1.6820185393589782
9691 1.6707599011788261
9721 1.6595766230093432
9751 1.6484682004156639
9781 1.637434132368071
9811 1.6264739211619599
9841 1.6155870724469423
9871 1.6047730951395351
9901 1.5940315015177475
9931 1.5833618070319062
9961 1.5727635304501746
9991 1.5622361937348614
10021 1.551779322035145
10051 1.5413924437016249
10081 1.5310750902281143
10111 1.5208267962443642
10141 1.5106470995087875
10171 1.500535540864803
10201 1.4904916642117314
10231 1.480515016541176
10261 1.4706051478278823
10291 1.4607616111024981
10321 1.450983962364262
10351 1.441271760595555
10381 1.4316245677109691
10411 1.4220419485936873
10441 1.4125234710081713
10471 1.4030687056074385
10501 1.393677225947613
10531 1.3843486084224423
10561 1.375082432256022
10591 1.3658782794955187
10621 1.3567357349966187
10651 1.3476543863798724
10681 1.3386338240161422
10711 1.329673641041154
10741 1.3207734333045664
10771 1.311932799348142
10801 1.3031513404275756
10831 1.2944286604542867
10861 1.2857643659808673
10891 1.277158066201082
10921 1.268609372935316
10951 1.260117900572368
10981 1.2516832661349326
11011 1.2433050891486346
11041 1.2349829917293391
11071 1.226716598510393
11101 1.2185055366135202
11131 1.2103494356924784
11161 1.2022479278602987
11191 1.1942006476965616
11221 1.1862072322328459
11251 1.1782673209163477
11281 1.1703805556244333
11311 1.1625465805991553
11341 1.1547650425272877
11371 1.1470355903802556
11401 1.1393578755523777
11431 1.1317315517153475
11461 1.1241562748909928
11491 1.1166317033930682
11521 1.1091574978272547
11551 1.1017333210693323
11581 1.0943588382360758
11611 1.0870337167216348
11641 1.0797576260956703
11671 1.0725302382124937
11701 1.0653512270364445
11731 1.0582202687728568
11761 1.0511370417807484
11791 1.0441012265655445
11821 1.0371125057718018
11851 1.0301705641904846
11881 1.023275088678929
11911 1.016425768219051
11941 1.009622293888242
11971 1.0028643588011619
12001 0.9961516581388423
12031 0.9894838891268591
12061 0.9828607510135043
12091 0.9762819450625102
12121 0.9697471745312214
12151 0.9632561446778709
12181 0.9568085627033724
12211 0.9504041378022521
12241 0.9440425811044406
12271 0.9377236056607217
12301 0.9314469264572836
12331 0.9252122603793396
12361 0.9190193262184039
12391 0.9128678446286358
12421 0.9067575381486677
12451 0.9006881311870529
12481 0.8946593499567825
12511 0.8886709225553204
12541 0.8827225788627402
12571 0.8768140505708288
12601 0.8709450711758109
12631 0.8651153759565204
12661 0.8593247019671253
12691 0.853572788022575
12721 0.8478593746694969
12751 0.8421842042153003
12781 0.8365470206626924
12811 0.8309475697606103
12841 0.8253855989460135
12871 0.8198608573293313
12901 0.8143730957235675
12931 0.808922066615196
12961 0.803507524120505
12991 0.7981292240074254
13021 0.7927869237028062
13051 0.7874803822414833
13081 0.782209360251727
13111 0.7769736200134503
13141 0.771772925319965
13171 0.7666070416453294
13201 0.7614757359551731
