sweep delta
1 101.96353543044691
2 22.42780730143982
3 18.757789669301268
4 16.49696120188058
5 14.642615444206868
6 13.087652280821999
7 11.768082972973545
8 10.63799368603381
9 9.661776861837751
10 8.811192492292605
11 8.063793986587115
12 7.401777973627162
13 6.811038079985394
14 6.280381683427407
15 5.800893950421653
16 5.365432642640883
17 4.968232929291986
18 4.604601027688773
19 4.270677863740502
20 3.9632571953982563
21 3.6796457868487664
22 3.4250728941625113
23 3.1965724990862867
24 2.9810004462527218
25 2.7782219702780964
26 2.587925846406847
27 2.409680470792992
28 2.242975896959976
29 2.087255142118593
30 1.9419372999227846
31 1.8064344071814276
32 1.6801635621418285
33 1.5625554464691902
34 1.4530601367701337
35 1.3511508858419603
36 1.256326394827866
37 1.1681119745334456
38 1.0860598991978776
39 1.0097491827562521
40 0.9387849512246476
41 0.8727975415094136
42 0.8114414237521999
43 0.7543940189781608
44 0.7013544645318177
45 0.6520423651751059
46 0.6061965567049583
47 0.5635739006832239
48 0.5239481227121416
49 0.4871087021341509
50 0.4528598176937635
51 0.42101935128061996
52 0.39141795014433
53 0.3638981467618123
54 0.33831353471228454
55 0.3145279983743592
56 0.29241499392881565
57 0.271856878968066
58 0.25274428794159576
59 0.23497555067103804
60 0.21845615122200002
61 0.2030982245140649
62 0.1888200881605826
63 0.17554580715784596
64 0.16320478917401715
65 0.1517314083239114
66 0.1410646554458026
67 0.1311478130270416
68 0.12192815304737792
69 0.1133566561267969
70 0.10538775047496074
71 0.09797906924561062
72 0.09109122499447153
73 0.08468760003276543
74 0.07873415155330576
75 0.07319923048473242
76 0.06805341310464996
77 0.06326934451061561
78 0.05882159311155988
79 0.05468651536224911
80 0.05084213001828175
81 0.047268001239729074
82 0.043945129920388126
83 0.04085585266233238
84 0.03798374785736769
85 0.03531354837497247
86 0.03283106039131667
87 0.030523087927093684
88 0.028377362692140196
89 0.026382478863951064
90 0.02452783245209389
91 0.02280356492633473
92 0.021200510808853323
93 0.01971014895082135
94 0.018324557235075645
95 0.01703637046341555
96 0.015838741204561302
97 0.014725303395096034
98 0.013690138499015347
99 0.01272774404668553
100 0.011833004385437107
101 0.011001163486440646
102 0.010227799663482529
103 0.009508802068893374
104 0.008840348841772538
105 0.00821888679271865
106 0.007641112516267867
107 0.007103954831421788
108 0.006604558456729137
109 0.006140268832609763
110 0.005708618010999089
111 0.005307311536626003
112 0.004934216251029966
113 0.004587348953293713
114 0.004264865858488065
115 0.003965052796758073
116 0.003686316101692455
117 0.0034271741390909938
118 0.0031862494312235867
119 0.002962261334886307
120 0.002754019233918825
121 0.002560416210656058
122 0.002380423161895351
123 0.0022130833286837515
124 0.002057507210821541
125 0.0019128678382855924
126 0.0017783963758972732
127 0.0016533780362237849
128 0.001537148280249312
129 0.0014290892850397086
130 0.0013286266594718654
131 0.0012352263912305261
132 0.0011483920082469012
133 0.0010676619395724174
134 0.0009926070619030725
