episode steps reward
0 4639.101000000001 -416.3437532194848
1 4569.320000000001 -414.2341390516646
2 4483.661 -407.7484898595926
3 4381.053999999999 -398.193839448381
4 4276.018 -388.8804479494765
5 4156.214 -378.34445783000217
6 4043.0550000000003 -366.67051385712404
7 4014.838999999999 -364.3249889542186
8 3884.4370000000004 -352.3503034663603
9 3902.3940000000002 -354.89071622271416
10 3839.7940000000003 -347.6070306439959
11 3699.112 -331.7922668408675
12 3627.357 -325.45090129406145
13 3588.442 -322.768530862066
14 3561.1620000000003 -320.30974988826256
15 3514.693 -314.69948759624174
16 3465.0089999999996 -310.237982223441
17 3396.567 -302.7435238489403
18 3359.905 -297.34459507808054
19 3337.0269999999996 -294.78898671224215
20 3320.0939999999996 -293.93396472984847
21 3335.543 -295.0771297236089
22 3233.089 -282.2656001290159
23 3147.6510000000003 -271.4438585164223
24 3101.6330000000003 -265.17419937510243
25 3069.981 -262.1570391363247
26 3043.481 -259.35385636900065
27 2980.1410000000005 -251.87738615783056
28 2918.289 -245.49992149348031
29 2862.879 -239.92495443302272
30 2794.395 -232.74322976533685
31 2711.627 -225.20714679486235
32 2780.522 -232.66007964460204
33 2764.764 -231.26044252266678
34 2750.558 -230.59336063396927
35 2730.562 -227.968999595809
36 2727.6949999999997 -227.17623658293192
37 2758.47 -231.04081084747682
38 2772.1759999999995 -232.18266576661057
39 2766.8760000000007 -231.77875889282336
40 2784.032 -233.09905921928308
41 2784.735 -232.21416027278784
42 2763.502 -229.7892154699156
43 2799.6969999999997 -234.09027559945247
44 2749.969 -228.3038821172121
45 2728.582 -225.74693372839596
46 2702.3909999999996 -222.46966165908628
47 2660.108 -217.07889266900185
48 2628.9139999999998 -213.23679756881543
49 2589.1339999999996 -207.6071499675646
50 2585.9730000000004 -206.4501313027934
51 2562.1770000000006 -203.30885867805935
52 2538.9210000000003 -201.33106446427107
53 2460.8590000000004 -192.51790289780988
54 2454.237 -191.59279514345343
55 2465.818 -192.67799604639157
