episode mse top bottom
1 0.04806013015628998 0.05514570598353393 0.04097455432904603
51 0.04020006336891785 0.05300228497745995 0.027397841760375748
101 0.027038187117513414 0.043246127254095185 0.01083024698093164
151 0.021700487741911093 0.03745871336395934 0.005942262119862849
201 0.015854321740556107 0.028343491470996254 0.00336515201011596
251 0.012288944687468693 0.021755665589792472 0.002822223785144915
301 0.011075795030539393 0.019776164935965013 0.002375425125113774
351 0.009102682783702788 0.015538132200588278 0.0026672333668172976
401 0.008283747242729907 0.014536245082104946 0.0020312494033548675
451 0.00812830696824962 0.014160369408332558 0.002096244528166682
501 0.007693244048107146 0.013286319115824168 0.0021001689803901253
551 0.007436989466054175 0.012953080475631857 0.0019208984564764928
601 0.007539215075707945 0.013133735994196143 0.0019446941572197488
651 0.007189392142223587 0.012244100251363845 0.002134684033083329
701 0.007151890017996782 0.012252598138680886 0.0020511818973126773
751 0.007252155188574738 0.012276212639922754 0.0022280977372267224
801 0.007076185874832398 0.012023013824573821 0.0021293579250909753
851 0.006930689519261244 0.010283072181360445 0.003578306857162042
901 0.0069494249258574715 0.010053586330376544 0.0038452635213383998
951 0.006961657399492968 0.010002694871141502 0.0039206199278444325
1001 0.0068058210688543485 0.009332603235092713 0.004279038902615984
1051 0.006853008385496742 0.00938535677813584 0.004320659992857644
1101 0.0066890986270689845 0.009014913560251735 0.004363283693886234
1151 0.006756078985818028 0.00917874242311344 0.0043334155485226155
1201 0.006793954831778125 0.009070246334078023 0.004517663329478228
1251 0.006857583433325142 0.009190943658859158 0.004524223207791126
1301 0.006897071162185144 0.00926128301155232 0.004532859312817968
1351 0.006888803265666467 0.00928971398816197 0.004487892543170963
1401 0.006827344550449025 0.00915873435618063 0.00449595474471742
1451 0.00681868216815168 0.009098869712899164 0.004538494623404195
1501 0.006867121046683973 0.009128131169280069 0.0046061109240878775
1551 0.006824945721948116 0.008987703343809491 0.00466218810008674
1601 0.006835415169343926 0.008925118258274314 0.004745712080413538
1651 0.006938213357833388 0.009084528129070735 0.004791898586596042
1701 0.007031318618811395 0.009346398821163959 0.004716238416458832
1751 0.007065088415182497 0.00934695775134295 0.004783219079022044
1801 0.007115696504478943 0.009463527618478644 0.004767865390479242
1851 0.007093308114592721 0.009501648173763474 0.0046849680554219685
1901 0.007130533676374789 0.0094966238440253 0.004764443508724279
1951 0.007212444472905654 0.009578469505110966 0.004846419440700342
2001 0.007184194548518475 0.00954195992622952 0.004826429170807431
2051 0.007111035257610096 0.009326137758428317 0.004895932756791876
2101 0.007084477635697595 0.00918081278744718 0.004988142483948009
2151 0.007086382401876981 0.009216776744831179 0.004955988058922783
2201 0.007078658166936763 0.00913163762308665 0.005025678710786877
2251 0.007047876437154722 0.009044016610148281 0.005051736264161164
2301 0.007040362158587586 0.008970984331484308 0.005109739985690863
2351 0.0070558871949752385 0.00897708527363942 0.0051346891163110584
2401 0.007116747137744034 0.009035653660228845 0.005197840615259223
2451 0.007049081850824355 0.008922835405849941 0.005175328295798769
2501 0.00704399441070846 0.00893189415809451 0.005156094663322409
2551 0.007035275642024393 0.008887508929699604 0.0051830423543491825
2601 0.007071304711018161 0.008928831522046857 0.005213777899989464
2651 0.00707764306007342 0.008920841766670691 0.00523444435347615
2701 0.007071043640293455 0.008917551239181557 0.005224536041405353
2751 0.007014456443956815 0.008768976713124342 0.005259936174789289
2801 0.007077356287540303 0.008817493335783468 0.005337219239297138
2851 0.007033998506619215 0.008743969457618508 0.005324027555619922
2901 0.006974472252185602 0.008574907752650605 0.005374036751720599
2951 0.006962813271601951 0.008600786845726514 0.005324839697477388
3001 0.006844862038569488 0.008463733097078135 0.005225990980060842
3051 0.006840938516364526 0.008432703060329373 0.005249173972399679
3101 0.006841587947671863 0.008468450118634896 0.005214725776708831
3151 0.006826111379865656 0.008497727509658357 0.005154495250072954
3201 0.006821686725997514 0.008487127869178053 0.0051562455828169755
3251 0.00677118333848677 0.008357938840846376 0.005184427836127164
3301 0.006738300950626925 0.008230406907430987 0.0052461949938228634
3351 0.0067095240031701964 0.008157194184443224 0.005261853821897168
3401 0.006705154407682724 0.008165645434230744 0.005244663381134705
3451 0.006728136335402851 0.008183801827486232 0.005272470843319471
3501 0.006707600414645655 0.008128094218335703 0.005287106610955606
3551 0.006744196275065497 0.008156327434524543 0.005332065115606452
3601 0.006693462802229059 0.008106465707707199 0.0052804598967509195
3651 0.006684717268490332 0.008091819551325635 0.005277614985655029
3701 0.0066786903407385165 0.008096989195449194 0.005260391486027838
3751 0.0066948635295292405 0.008151927929606407 0.005237799129452074
3801 0.006700060500035155 0.008131152569261325 0.005268968430808985
3851 0.006695058555508287 0.00812368574236236 0.005266431368654215
3901 0.006651824329935739 0.008061004329721856 0.005242644330149623
3951 0.006651911594862462 0.008012606750830683 0.005291216438894242
4001 0.00665918383293371 0.00801210346042019 0.00530626420544723
4051 0.006681228644052742 0.00805006611606682 0.005312391172038664
4101 0.0066735005364006485 0.008061163227519517 0.00528583784528178
4151 0.006659222313445622 0.008047794121988036 0.005270650504903208
4201 0.0066443391072694225 0.008037585329964497 0.005251092884574348
4251 0.006651648076485313 0.008072349110021202 0.005230947042949425
4301 0.006621852044738792 0.008014945817020763 0.00522875827245682
4351 0.0066391135452051634 0.008078619567059589 0.005199607523350738
4401 0.006568695267417175 0.007990110000417407 0.005147280534416943
4451 0.006545413587899883 0.007950747413655196 0.00514007976214457
4501 0.006497060512047015 0.007901570226388602 0.005092550797705428
4551 0.0064983748085896045 0.007899855477512794 0.005096894139666416
4601 0.006480278650991481 0.007842271010222985 0.005118286291759977
4651 0.006421613777959528 0.007736933678593417 0.005106293877325639
4701 0.006444802673635561 0.007754020795839024 0.005135584551432097
4751 0.00642700641185546 0.00773787548191832 0.0051161373417926
4801 0.006395584277004399 0.007684486310298047 0.005106682243710751
4851 0.006343165095551365 0.007641665178218765 0.005044665012883965
4901 0.006370865695948922 0.00766183110372517 0.005079900288172673
4951 0.006346362567821 0.0076445566834229175 0.005048168452219082
5001 0.0063590982305268395 0.0077037036905822365 0.0050144927704714425
