episode mse top bottom
1 0.04721335255586431 0.04855310747308863 0.04587359763864
51 0.04209536137854522 0.04927351243163524 0.0349172103254552
101 0.03637543981448718 0.046218800110456176 0.026532079518518187
151 0.03182628199467445 0.04193466030390765 0.021717903685441256
201 0.027552735906429007 0.036948148262722524 0.01815732355013549
251 0.02388655770357037 0.03347926983072231 0.014293845576418432
301 0.020343026099925915 0.029344602898279476 0.011341449301572352
351 0.017881152801010537 0.026741201857838865 0.009021103744182208
401 0.014943912627555556 0.022497543606762687 0.0073902816483484264
451 0.013121019624297221 0.020643271338675058 0.005598767909919385
501 0.011033142991009628 0.017752065388510777 0.004314220593508481
551 0.009674261015641873 0.015975529325078147 0.0033729927062056
601 0.008361756116387762 0.014254131673896761 0.0024693805588787638
651 0.007195296716477883 0.012693589987363514 0.001697003445592253
701 0.006207752413269124 0.011352541933692723 0.0010629628928455256
751 0.005607992098875978 0.01023315434250041 0.000982829855251546
801 0.005009684339924514 0.00911275302450568 0.0009066156553433494
851 0.004672457020321687 0.008655675937689698 0.0006892381029536742
901 0.003878096066989284 0.007152319599275137 0.0006038725347034305
951 0.0035028609119666983 0.0066451044405375645 0.00036061738339583215
1001 0.0031691065625925265 0.005772746548960966 0.0005654665762240868
1051 0.0029573309132719166 0.005552465363281751 0.00036219646326208143
1101 0.0027430194086098185 0.005080504006305702 0.0004055348109139349
1151 0.0025113566902541028 0.004746394340963509 0.0002763190395446962
1201 0.0023272943538443667 0.004379978511317807 0.0002746101963709267
1251 0.0021155371350184094 0.003944147061778095 0.0002869272082587236
1301 0.0020617051881346945 0.003897940825828815 0.00022546955044057382
1351 0.0018862494678624428 0.0036939824662097403 7.851646951514556e-05
1401 0.0017554939323084974 0.003353193384083639 0.0001577944805333559
1451 0.0016240696697716285 0.003110094166590043 0.0001380451729532143
1501 0.0014718158368306803 0.0027822075558394483 0.00016142411782191246
1551 0.0013883931359053702 0.002625506605713155 0.00015127966609758533
1601 0.0013210835868213392 0.0025530512438196 8.91159298230782e-05
1651 0.0012089194827405018 0.002310711816275404 0.00010712714920559975
1701 0.0010963312105151698 0.0020190692709404464 0.00017359315008989352
1751 0.0010297747839445978 0.0018573743308019004 0.0002021752370872953
1801 0.0010279111653182474 0.0018456131599805903 0.0002102091706559046
