episode mse top bottom
1 0.0478964978384707 0.05335395266036646 0.04243904301657494
51 0.04051319971908129 0.05337047028636681 0.027655929151795766
101 0.03387345770174233 0.050794673287216686 0.016952242116267967
151 0.029891113285662945 0.047533208342569404 0.012249018228756486
201 0.026855075833415846 0.0455872671902319 0.008122884476599788
251 0.025579700921640164 0.044618594382047884 0.006540807461232444
301 0.024863870121973223 0.044423737477260083 0.005304002766686359
351 0.02400485257644999 0.0436571452117375 0.004352559941162484
401 0.022617939459266805 0.041869861828761526 0.003366017089772081
451 0.021914037307448772 0.04126257318301815 0.0025655014318793946
501 0.021697233894522373 0.041256162777992794 0.0021383050110519546
551 0.021593226944189685 0.04131935855707929 0.0018670953313000768
601 0.0210891927919991 0.04065408269979519 0.0015243028842030146
651 0.02093388211947599 0.04060220058145311 0.0012655636574988652
701 0.019245652761190578 0.038349321674511924 0.00014198384786923493
751 0.019052020540071136 0.03820652272662883 -0.00010248164648656369
801 0.018960283105850725 0.03814721941750159 -0.0002266532058001411
851 0.018639523487324287 0.03767871663507616 -0.00039966966042758595
901 0.018421212965996837 0.03756152066114205 -0.0007190947291483771
951 0.01823419983470358 0.03743303863219999 -0.0009646389627928284
1001 0.01808886275154702 0.037333101407244634 -0.0011553759041505983
1051 0.017853507026978015 0.037165939579631095 -0.0014589255256750658
1101 0.01778395206207664 0.03713608473036242 -0.0015681806062091408
1151 0.017724535093264177 0.03711108947379255 -0.0016620192872641958
1201 0.017621842389470524 0.03706283420923613 -0.0018191494302950799
1251 0.017563984684947208 0.037044048505871695 -0.0019160791359772791
1301 0.017615369738950778 0.037087918470658704 -0.0018571789927571483
1351 0.017442888246829494 0.036998529875695296 -0.002112753382036304
1401 0.0174893445017645 0.03706107053141307 -0.0020823815278840745
1451 0.01732319932074892 0.03692510769349986 -0.0022787090520020176
1501 0.017306345535280723 0.03691758326996359 -0.0023048921994021435
1551 0.01730627893543319 0.03694171722731443 -0.002329159356448049
1601 0.0172606156139131 0.03691841882280833 -0.0023971875949821246
1651 0.017266142959688268 0.03692085326805872 -0.0023885673486821815
1701 0.017092554203183574 0.036812014804900116 -0.002626906398532969
1751 0.017050085606189525 0.03680205168560398 -0.0027018804732249282
1801 0.01702440570975765 0.036787199282962174 -0.0027383878634468714
1851 0.01702729621931394 0.03679393475343208 -0.002739342314804206
1901 0.016967977777873913 0.036739380299795815 -0.002803424744047992
1951 0.017012624767134134 0.03677872142380517 -0.0027534718895368994
2001 0.016870045155835157 0.036677537311774096 -0.002937447000103781
2051 0.01685036015745832 0.03666511215342336 -0.0029643918385067226
2101 0.016821808156215458 0.03666269229514105 -0.003019075982710135
2151 0.016804613980800857 0.036657036659350606 -0.003047808697748896
2201 0.016805028791839954 0.03666399466995332 -0.003053937086273415
2251 0.016783924863756624 0.03666339181960861 -0.0030955420920953623
2301 0.01676784177438734 0.036648746212438646 -0.0031130626636639604
2351 0.01675776367737575 0.036653540890851016 -0.003138013536099514
2401 0.016751625623402225 0.036651089501328366 -0.0031478382545239124
2451 0.016727306500577556 0.03665508501306994 -0.003200472011914826
2501 0.016736863683144775 0.03666700039518279 -0.0031932730288932384
2551 0.01670330180675108 0.036636828270992065 -0.0032302246574899066
