episode mse top bottom
1 0.0473480029913633 0.0473480029913633 0.0473480029913633
51 0.046574640200009856 0.05090887920635907 0.04224040119366064
101 0.04558725682572869 0.051837932589541315 0.03933658106191607
151 0.045202117597507405 0.05209695940922607 0.03830727578578874
201 0.04414390927974619 0.05280173651056934 0.035486082048923034
251 0.0433508048508908 0.05376137456254987 0.032940235139231736
301 0.04302355689928466 0.053994724967967894 0.03205238883060142
351 0.04226465024278674 0.05404792150412848 0.030481378981445005
401 0.04167195596881578 0.05387991887905267 0.029463993058578893
451 0.04098895736103061 0.05420497121387327 0.027772943508187944
501 0.04052257948032593 0.05432296902464738 0.026722189936004476
551 0.03933647183913814 0.05419683801291397 0.02447610566536231
601 0.0382192613695895 0.05429175656696497 0.02214676617221403
651 0.03727331744321563 0.053607020867210156 0.020939614019221103
701 0.0365641095133006 0.053310908494902706 0.019817310531698495
751 0.035545680855742445 0.05316815015151303 0.017923211559971862
801 0.03471675679654422 0.05286801501574753 0.016565498577340906
851 0.03378069495040826 0.052577968802860135 0.014983421097956383
901 0.03225966589076406 0.05159567679596001 0.01292365498556811
951 0.03109608198188819 0.05065465264992021 0.011537511313856174
1001 0.030069772585318143 0.050130851763976234 0.010008693406660048
1051 0.02916768948484158 0.049632502721793335 0.008702876247889825
1101 0.028544918424614932 0.04916194698437775 0.007927889864852114
1151 0.02756325043114061 0.048389682088174346 0.006736818774106874
1201 0.026787283243999562 0.047764093922020016 0.005810472565979108
1251 0.026101197930125677 0.04715738702338958 0.005045008836861781
1301 0.025216099711636047 0.04651326408769251 0.003918935335579583
1351 0.024824904152457253 0.04609908357346684 0.003550724731447661
1401 0.024223121663393184 0.0456782590045068 0.0027679843222795687
1451 0.02360318387654119 0.044938525713358615 0.002267842039723765
1501 0.02304717392879253 0.04444519494516288 0.0016491529124221804
1551 0.02283984965517302 0.044351284555697444 0.0013284147546485936
1601 0.022448200804107653 0.04381373311805166 0.0010826684901636442
1651 0.02164539568854186 0.04304223059488735 0.000248560782196372
1701 0.020941850699980957 0.04219293442662371 -0.0003092330266617968
1751 0.020493201792374873 0.04165438583665336 -0.000667982251903617
1801 0.019771246447417824 0.04086753081954821 -0.0013250379247125646
1851 0.019181919076676913 0.04022639355498857 -0.0018625554016347412
1901 0.018671685393562083 0.0396124887528629 -0.0022691179657387366
1951 0.018218250858833496 0.039045471950699115 -0.002608970233032127
2001 0.01758968480964678 0.03823236655189297 -0.0030529969325994097
2051 0.017265033932655535 0.03782834328797964 -0.00329827542266857
2101 0.016659013296011018 0.03720545981390588 -0.0038874332218838507
2151 0.016162484999810177 0.03637209405749635 -0.004047124057875995
2201 0.015638319148361203 0.035743046635067124 -0.004466408338344722
2251 0.015155720121079271 0.034985629604256184 -0.004674189362097644
2301 0.014825051281067505 0.03451312332384149 -0.004863020761706475
2351 0.014489510960636305 0.03412653984215294 -0.005147517920880329
2401 0.014140190438422068 0.03356919954194853 -0.005288818665104391
2451 0.01371100568829702 0.03305430320669473 -0.005632291830100689
2501 0.013209217362486704 0.032475383629110566 -0.006056948904137155
2551 0.012773042443790197 0.03183866450789974 -0.006292579620319344
2601 0.01255026892434923 0.03143249989589119 -0.006331962047192731
2651 0.012363185854260834 0.03118075402721767 -0.006454382318696002
2701 0.012059791541583265 0.030728723901945705 -0.006609140818779176
2751 0.011792143449085087 0.030221918515225387 -0.006637631617055214
2801 0.011589135709658258 0.02981623337008319 -0.006637961950766677
2851 0.011263493741377938 0.02928191110236482 -0.0067549236196089435
2901 0.010914658433792176 0.028715540684750792 -0.006886223817166439
2951 0.010650639265593056 0.028203582368100305 -0.006902303836914191
3001 0.010310796667786684 0.027464455365232933 -0.006842862029659565
3051 0.01001297022146246 0.026990977584634798 -0.0069650371417098785
3101 0.00964554057239942 0.026342886555211754 -0.007051805410412913
3151 0.009313284583491021 0.025925278313149752 -0.00729870914616771
3201 0.009186560227847793 0.025716230758305907 -0.007343110302610322
3251 0.008899504710330467 0.025487506788671472 -0.007688497368010538
3301 0.008604579348466259 0.024958498963950193 -0.007749340267017674
3351 0.008415874736032123 0.02449508902982444 -0.007663339557760192
3401 0.008099209529211438 0.02390559979036801 -0.007707180731945134
3451 0.008030626877742572 0.023586295221527463 -0.007525041466042321
3501 0.007757473915678694 0.023179107568067837 -0.007664159736710449
3551 0.007543354065254442 0.02273191437151136 -0.007645206241002474
3601 0.007135238863353297 0.022008281246496498 -0.0077378035197899035
3651 0.006988289261914188 0.02176078289361675 -0.007784204369788375
3701 0.006806588659859363 0.021542735747263505 -0.007929558427544777
3751 0.006647215738706497 0.021360891859887574 -0.00806646038247458
3801 0.006481190386251061 0.021134058171796588 -0.008171677399294468
3851 0.006446041701959396 0.021059161351276265 -0.008167077947357472
3901 0.0063921094100016385 0.02102429055054018 -0.008240071730536903
3951 0.006280950520655349 0.020912307190977152 -0.008350406149666454
4001 0.0061358146774674 0.02069399578696332 -0.00842236643202852
4051 0.006081628582282322 0.020621547491434404 -0.00845829032686976
4101 0.006093824483256674 0.020620241395331085 -0.00843259242881774
4151 0.006082470729610187 0.020611231018211034 -0.008446289558990659
4201 0.0059548258186305925 0.020332541992955998 -0.008422890355694811
4251 0.005766407682219468 0.019924649987918066 -0.00839183462347913
4301 0.0056579638946353625 0.019633545059357965 -0.008317617270087238
4351 0.005670914189504119 0.0196011782332965 -0.008259349854288264
4401 0.0055987294973178425 0.019383110397720952 -0.008185651403085269
4451 0.005393783055303305 0.018904751238131262 -0.00811718512752465
4501 0.0052920558478395064 0.018747899077584156 -0.008163787381905142
4551 0.005201895810891536 0.018517201203628847 -0.008113409581845775
4601 0.0050740511868108875 0.018276436111544545 -0.008128333737922771
4651 0.004987127395904576 0.018080240429435224 -0.008105985637626073
4701 0.00488099309308783 0.01791677563796775 -0.008154789451792092
4751 0.004785996058275621 0.017760114630999115 -0.008188122514447872
4801 0.0047002877745497725 0.017506913077509692 -0.008106337528410145
4851 0.004651252646547289 0.017427543694024036 -0.008125038400929457
4901 0.004595099404469795 0.017384696930794582 -0.00819449812185499
4951 0.004574158720690713 0.01732431383000751 -0.008175996388626088
5001 0.004491541469584663 0.017218781383077995 -0.008235698443908672
5051 0.0044483759049794135 0.01708222411303524 -0.008185472303076414
5101 0.004435974679511727 0.016959595755581973 -0.008087646396558517
5151 0.004336783710267373 0.016700104431314856 -0.00802653701078011
5201 0.00425746710617184 0.01644632246776648 -0.007931388255422802
