episode mse
1 66.13635258907969
4 47.22699062139009
7 41.745777942230106
10 37.475664408788695
13 33.9851967444108
16 31.08121002914229
19 28.652452506730423
22 26.604604562537794
25 24.825202749580168
28 23.339456727927313
31 22.122830111926397
34 20.99358574046573
37 20.049148502892123
40 19.205728420842835
43 18.458903276878072
46 17.760741761276424
49 17.208849071678664
52 16.707869705387083
55 16.289252566572586
58 15.918357291917477
61 15.607445352341463
64 15.316875753118843
67 15.066420777791611
70 14.854418686555668
73 14.671214236678336
76 14.506970726524896
79 14.380050578629906
82 14.279726364456907
85 14.18530253976051
88 14.110514011137145
91 14.049516555943088
94 13.99302241332121
97 13.951511609651536
100 13.925869959183144
103 13.906656652943163
106 13.89003659372787
109 13.87912669205332
112 13.878805873633283
115 13.885995808077213
118 13.894632023690447
121 13.908773748251695
124 13.9251988916135
127 13.943162929914502
130 13.963973888887551
133 13.985133541727912
136 14.008546343009463
139 14.052142892624945
142 14.072244322808961
145 14.102723706938287
148 14.132355675013557
151 14.168033119501054
154 14.204124596437559
157 14.233000104228877
160 14.266075850171458
163 14.291866504676921
166 14.316644682198737
169 14.353364225758837
172 14.393601184316562
175 14.420004657369578
178 14.446374546130665
181 14.48498878482044
184 14.516661247975685
187 14.553306512280665
190 14.584075572524165
193 14.612348412499395
196 14.636188620794634
199 14.656332446633575
202 14.68077536364496
205 14.712985328891037
208 14.750883765290983
211 14.771227809322294
214 14.796102980160986
217 14.82492201792969
220 14.846375964963986
223 14.86894011823891
226 14.90193669488725
229 14.928209200474912
232 14.964353255153284
235 14.982050279070728
238 14.994746962376595
241 15.02551684953808
244 15.040854633753222
247 15.066984025775307
250 15.08843321332325
253 15.112713455117547
256 15.148686439864953
259 15.168148517757196
262 15.186312677390893
265 15.215231482373007
268 15.2290370152639
271 15.245135611139666
274 15.269736048239354
277 15.298164359276242
280 15.302149305481763
283 15.328438187682812
286 15.344141856444406
289 15.3564963243795
292 15.370658685426651
295 15.402955804956143
298 15.418260943643737
301 15.450515991804796
304 15.46479758114766
307 15.47805459308534
310 15.485689083725827
313 15.49919930072482
316 15.512984947724279
319 15.534399195183802
322 15.552947301230267
325 15.572846982666373
328 15.595295077803899
331 15.604023010411758
334 15.61904723755507
337 15.629450734818244
340 15.647314765625994
343 15.652063558014333
346 15.674204455784205
349 15.690707701023362
352 15.714885449716787
355 15.720278451745619
358 15.722749257814133
361 15.726093279024571
364 15.744629401777965
367 15.749914921743455
370 15.76507342512292
373 15.761217831702513
376 15.765359958506622
379 15.780923584753912
382 15.790496855560646
385 15.797994399849381
388 15.814589466837667
391 15.826253796257859
394 15.829830413047535
397 15.841947551639251
400 15.866886335242805
403 15.883746079985915
406 15.885353986784983
409 15.89501344287767
412 15.896670432724086
415 15.90214230363831
418 15.913560484528105
421 15.917992963538948
424 15.934946414495787
427 15.948141024861348
430 15.950332565746182
433 15.96425435128911
436 15.973342932973836
439 15.99432162870336
442 16.00906746385299
445 16.018417750514242
448 16.02348719906605
451 16.034004255322444
454 16.04546742538073
457 16.055480612135895
460 16.067838487691763
463 16.08894348127157
466 16.08633524487465
469 16.092071039241933
472 16.121906754694145
475 16.12942720893745
478 16.133818786499894
481 16.14582002172933
484 16.161396683205897
487 16.168481833379516
490 16.185126841505564
493 16.195381574664214
496 16.21118448608596
499 16.21995899881016
502 16.225440760037745
505 16.242678947894706
508 16.245771635938578
511 16.25608650082739
514 16.26271131447429
517 16.269422540040104
520 16.279754416012434
523 16.292970188194133
526 16.3020360411409
529 16.312285548936863
532 16.31866735667729
535 16.326801985651112
538 16.3336703655373
541 16.342885397596742
544 16.350322850476566
547 16.36070494992687
550 16.373633801975064
553 16.391057596382804
556 16.393934332091717
559 16.400512310238007
562 16.400165496505767
565 16.40445707654173
568 16.403950736732316
571 16.411674373820382
574 16.409655182524858
577 16.410019101768608
580 16.41412065481643
583 16.41699028357259
586 16.42595056987984
589 16.423526293165168
592 16.42476206101739
595 16.42937020732947
598 16.43318643087223
601 16.435760889439415
604 16.437507468323155
607 16.44143886447823
610 16.44796729588611
613 16.454912899962913
616 16.45805862355547
619 16.478361245552023
622 16.48553270506534
625 16.488569349621297
628 16.490290446073868
631 16.49571008047076
634 16.504432039851917
637 16.506098370025736
640 16.509995012134343
643 16.51252714402581
646 16.51823041217446
649 16.52022827381176
652 16.527617258718493
655 16.540142597853972
658 16.546710228010628
661 16.55109167333243
664 16.555278504040214
667 16.56552272660165
670 16.571217465267633
673 16.5752760196176
676 16.58754191035582
679 16.601845451114006
682 16.606525556991244
685 16.603829843984162
688 16.608756471808636
691 16.61525469323197
694 16.617916564872438
697 16.62183682375601
700 16.631653993913385
703 16.646272246510467
706 16.650012538626125
709 16.657316287993154
712 16.66297187510302
715 16.66543371481817
718 16.67072860514524
721 16.675145795363957
724 16.677105831243164
727 16.68423081430832
730 16.68403813226468
733 16.69912769575041
736 16.70035726358892
739 16.706513878140562
742 16.708647796477386
745 16.705853436811648
748 16.70795200118005
751 16.708028296142015
754 16.709893905277045
757 16.71966256718438
760 16.734104847496166
763 16.72487763614337
766 16.735720448661553
769 16.72995728473604
772 16.7358703628902
775 16.73615935622453
778 16.75156509517827
781 16.75162237727336
784 16.744126379795414
787 16.750425679500793
790 16.74924439265024
793 16.759965032934403
796 16.76125053828218
799 16.771236009742857
