episode mse
1 66.53989165426748
4 47.874352490187256
7 42.995398311975705
10 39.07793078008112
13 35.8303138878774
16 33.27686784337552
19 31.02629414608539
22 29.087365666744212
25 27.419394021960198
28 25.99007638651075
31 24.753752799928602
34 23.66173077370217
37 22.689176093278448
40 21.837703262576756
43 21.0717229649153
46 20.39554191225114
49 19.74997218799625
52 19.188342661725954
55 18.7151627257275
58 18.24842386178804
61 17.840749488065526
64 17.450679998518595
67 17.116680744888107
70 16.81509511633913
73 16.536434557299852
76 16.27200271136542
79 16.059618052125426
82 15.857477511708614
85 15.667887075032034
88 15.496145559835742
91 15.340141802024105
94 15.20258508567767
97 15.077818499522186
100 14.962863722924794
103 14.861485152240526
106 14.776874637200104
109 14.690668967398473
112 14.613035795720107
115 14.545341284844808
118 14.48454306371781
121 14.429193469448114
124 14.383438532770315
127 14.33723919380707
130 14.300278539822362
133 14.267290307995788
136 14.238531589372057
139 14.214258755153406
142 14.19276919678173
145 14.173565219517352
148 14.158329903174943
151 14.147356796629126
154 14.138064288512176
157 14.127664476596202
160 14.120177359399415
163 14.114657446043118
166 14.110464236461775
169 14.10522990293645
172 14.099416448925018
175 14.092648231847532
178 14.087385771902671
181 14.083383470508627
184 14.078385519850364
187 14.075213896077633
190 14.072315535412358
193 14.067339685710806
196 14.062505889801752
199 14.059448013926126
202 14.054356420164806
205 14.049245375632534
208 14.0446905722898
211 14.040167846578502
214 14.036140168272418
217 14.032832109492983
220 14.030137829190643
223 14.027876369667954
226 14.024128363755747
229 14.020406397563443
232 14.01713302533292
235 14.011813094233906
238 14.008345043672266
241 14.005596870479824
244 14.002154578139361
247 13.998792570371117
250 13.99534692429683
253 13.990520521557931
256 13.987543370738363
259 13.983953183404052
262 13.980029610224669
265 13.976068088520655
268 13.97212647161473
271 13.969118920586919
274 13.965256868782976
277 13.960652566906067
280 13.956885392651532
283 13.95353609086431
286 13.949420316480559
289 13.946137649357937
292 13.94201500765672
295 13.938815037259566
298 13.935660647864925
301 13.932054277632142
304 13.930106793633461
307 13.926822277250691
310 13.924970899250255
313 13.922893860370529
316 13.918905656887757
319 13.915948903290682
322 13.911098052829976
325 13.908233595709726
328 13.906289747691357
331 13.90096706993102
334 13.896427557883571
337 13.893160166972343
340 13.891028597235385
343 13.888059965952223
346 13.884628876161596
349 13.881164538417043
352 13.879368204869143
355 13.877210538204247
358 13.874320767293062
361 13.871101392021485
364 13.869178291695142
367 13.8665643716398
370 13.863855049774516
373 13.860221046090679
376 13.857428036513243
379 13.855381641977408
382 13.852386608590304
385 13.849506621778811
388 13.8458795527247
391 13.843782083552808
394 13.841411499021945
397 13.83982299810402
400 13.837035980250844
403 13.835531249774974
406 13.832665505272605
409 13.829599885467553
412 13.828462758104076
415 13.825973485418727
418 13.82336211043693
421 13.819942935653469
424 13.817952485294079
427 13.81523426605886
430 13.812084260592371
433 13.81013810765401
436 13.807429603700266
439 13.805748893630353
442 13.803027450619897
445 13.801030774936722
448 13.799215025692726
451 13.796862016998665
454 13.795452899564928
457 13.794219877339678
460 13.791790189151703
463 13.789715331576874
466 13.787499484244252
469 13.785551491312713
472 13.782540636918897
475 13.780276732946295
478 13.777863266631655
481 13.776240021877175
484 13.77421390744829
487 13.772886797363121
490 13.770288584198362
493 13.767716073325035
496 13.7657558275053
499 13.762553280938775
502 13.760547769330017
505 13.758897546352024
508 13.757078769026512
511 13.756273888091252
514 13.754214579891952
517 13.752132504699308
520 13.749767904703855
523 13.748835701091902
526 13.746937657955785
529 13.74428987197753
532 13.742683946543764
535 13.740350561451129
538 13.739045214614784
541 13.737551480792549
544 13.734717405206743
547 13.732776119535144
550 13.731589682569238
553 13.729034028348588
556 13.727439362789172
559 13.72599590342425
562 13.724852823686431
565 13.723136521007575
568 13.721475213761494
571 13.719834867657863
574 13.71749870535597
577 13.716508199054104
580 13.714619322648998
583 13.713780059600056
586 13.71183251310337
589 13.7110687222038
592 13.709942275388457
595 13.708226725540653
598 13.706344994252168
601 13.70498509872748
604 13.702117911880466
607 13.700465569523397
610 13.699249136971615
613 13.698038736267927
616 13.696261220380357
619 13.695250588328845
622 13.69432913185904
625 13.693114749836791
628 13.691478951168222
631 13.690196847251082
634 13.688972342104151
637 13.687966053047425
640 13.686329944029904
643 13.68504065310207
646 13.683362343822564
649 13.681707773795793
652 13.680375488991915
655 13.67844671035109
658 13.676690150291343
661 13.67578531932631
664 13.67439837311518
667 13.672986350484077
670 13.672116082922361
673 13.67092120346822
676 13.669901621574668
679 13.668839084417387
682 13.667266812794251
685 13.666386194611471
688 13.665599785918664
691 13.664520184741923
694 13.663471944607286
697 13.662764555824149
700 13.661764501834885
703 13.660422232001313
706 13.65913693576205
709 13.65783369022206
712 13.65664521547367
715 13.655892419733382
718 13.654583588665695
721 13.653062860824631
724 13.651750525830437
727 13.649899588431726
730 13.648777480047947
733 13.648192520502132
736 13.64682328238906
739 13.645936192301143
742 13.645252241251958
745 13.64412964250685
748 13.642777628366996
751 13.64162358294525
754 13.640564194825167
757 13.639463874631756
760 13.638829957410492
763 13.637527041148394
766 13.635683886320994
769 13.634518011266827
772 13.633954869927585
775 13.633568064462956
778 13.633077547827186
781 13.632212103327129
784 13.63155065344203
787 13.630297348035192
790 13.629857956645312
793 13.628622599719046
796 13.627890912123307
799 13.627195409868927
