episode steps reward
0 4374.0779999999995 -388.96870620173513
1 4099.305 -363.4807222211761
2 3910.719 -345.38546043474133
3 3775.7670000000007 -333.3480811560236
4 3626.975 -318.999875623849
5 3475.8969999999995 -303.37981778535976
6 3334.9849999999997 -288.09527034156446
7 3300.1809999999996 -285.36455770343474
8 3260.3840000000005 -283.3374741870929
9 3193.5589999999997 -278.3882824144313
10 3203.9309999999996 -281.07804155941386
11 3217.753 -284.69439635705606
12 3273.4530000000004 -292.928451811862
13 3322.1949999999997 -300.8165080213503
14 3305.889 -301.6106113006789
15 3237.3150000000005 -296.2124787640031
16 3249.11 -301.5462738691202
17 3196.66 -298.424519576227
18 3102.316 -289.88492283647366
19 3050.819 -285.0581296529773
20 3034.38 -283.67113339584347
21 3019.6410000000005 -284.077235421531
22 2978.654 -281.2923045408925
23 2931.2470000000003 -276.06362406881846
24 2959.9130000000005 -279.88566305660305
25 3010.1000000000004 -287.58515289457864
26 2925.111 -279.78256354951725
27 2948.726 -283.44720829715254
28 2987.3630000000003 -290.00485309099605
29 3014.214 -294.6186266661825
30 2974.5739999999996 -293.9766404421505
31 2938.471 -288.7011293407182
32 2884.612 -282.4370640433991
33 2885.639 -284.2537875137925
34 2878.2969999999996 -284.80007732859394
35 2860.925 -283.2219642466313
36 2935.403 -288.74258339432544
37 2934.5249999999996 -288.5552681457205
38 2897.5819999999994 -283.41996193912934
39 2899.8999999999996 -282.4049193095357
40 2896.1580000000004 -278.62375557987286
41 2896.7850000000003 -278.6143390515148
42 2895.449 -278.93330586093145
43 2890.689 -277.7888408210141
44 2891.505 -277.85771069925283
45 2874.3929999999996 -274.14670053438067
46 2856.7799999999997 -272.57480060830414
47 2780.5119999999997 -262.8138671394908
48 2802.217 -264.51278599167216
49 2799.62 -264.92014535525266
50 2811.6169999999997 -266.3724616985854
51 2825.9379999999996 -268.0530131596738
52 2796.108 -265.1030754705028
53 2746.8720000000003 -258.7273584487671
54 2722.1770000000006 -254.13589040965425
55 2712.593 -252.97543277759823
56 2649.1059999999998 -245.4131670414134
57 2716.673 -251.70269466621636
58 2744.574 -253.00354690114085
59 2737.817 -250.60051433395103
60 2744.1450000000004 -251.20690734377277
61 2724.315 -249.2180778645074
62 2730.41 -247.67908146829873
63 2769.062 -251.7887785486326
64 2763.828 -250.831976585874
65 2792.678 -254.0912857270626
66 2797.58 -255.39229986684103
67 2786.1009999999997 -255.48780720599115
68 2750.5459999999994 -252.59847354561754
69 2735.109 -252.29892017004153
70 2672.265 -244.96548338884895
71 2668.9700000000003 -243.42599203231208
72 2648.557 -240.10973190062055
73 2598.219 -232.91773167604006
74 2538.5550000000003 -226.87305564028975
75 2513.7049999999995 -223.35704532283142
76 2545.954 -225.90561218535245
77 2546.375 -225.51200022422307
78 2533.787 -222.88770866406963
79 2510.358 -218.79219536863056
80 2525.487 -220.36566151577864
81 2503.454 -217.3688515787077
82 2565.2950000000005 -224.96347684611902
83 2598.231 -229.6723030750943
84 2639.3129999999996 -233.33933022014884
85 2575.482 -225.94969147677065
86 2503.445 -217.33702491632067
87 2437.5520000000006 -209.68290465789013
88 2387.8669999999997 -206.74084375034937
89 2358.4790000000003 -203.06955043569394
90 2350.7589999999996 -201.50844730691043
91 2350.6869999999994 -202.008930979385
92 2260.8019999999997 -192.08282340458078
93 2214.1059999999998 -186.25243593707106
94 2204.383 -185.92900232790956
95 2322.393 -197.89406094847783
96 2378.3399999999997 -204.2315195110752
97 2393.6130000000003 -207.03146228226439
98 2473.3740000000003 -214.2363422015802
99 2448.511 -211.66449096016854
100 2442.1279999999997 -211.62426579783238
101 2403.796 -206.83724870145542
102 2388.259 -205.023607064048
103 2417.2920000000004 -208.71163315171412
104 2357.66 -200.55932937281082
105 2237.5919999999996 -187.59747843192457
106 2149.1079999999997 -177.99953578539535
107 2121.058 -173.47231117999928
108 2033.935 -163.02311632737187
109 2056.307 -165.6171510018196
110 2045.3199999999997 -162.72785242190497
111 2029.298 -162.09952688409558
112 2041.1029999999996 -162.6996144678402
113 2005.5349999999999 -159.43110644027837
114 2036.913 -163.11727691954596
115 2019.711 -162.0182125297264
116 2048.5860000000002 -164.28918054837655
117 2042.0040000000001 -163.34276442787086
118 2056.633 -164.75928870770161
119 2044.8239999999998 -163.1574686176888
120 2054.8849999999998 -165.59320593274117
