episode steps reward
0 4400.719 -356.3065103653316
1 4237.566000000001 -338.64069550145
2 4007.476 -314.72994907988146
3 3816.155 -294.30152703288644
4 3626.5610000000006 -274.8249607253806
5 3493.7650000000003 -261.0761255335146
6 3343.9619999999995 -245.3137474277192
7 3170.6780000000003 -227.41756997496333
8 3021.0190000000002 -211.98818552922972
9 2966.968 -206.69423225583077
10 2937.4080000000004 -203.44708305527888
11 2823.882 -191.7119847260371
12 2776.5879999999997 -186.713191805654
13 2757.388 -185.0805321951654
14 2691.7689999999993 -178.0843269133689
15 2605.1939999999995 -169.28242215020728
16 2553.969 -163.8663145741218
17 2479.915 -156.51636798424795
18 2390.996 -147.26137091736604
19 2331.413 -141.07837281308042
20 2277.382 -135.65848962472478
21 2218.5299999999997 -129.6077352177096
22 2150.072 -122.48772360303244
23 2060.88 -112.69702530331669
24 2018.5900000000001 -108.62820977580365
25 2028.8600000000001 -109.70736791787428
26 2009.989 -108.24661115366193
27 2015.574 -108.400399259244
28 2009.4270000000001 -107.79073252327628
29 1958.0459999999998 -102.52164692706242
30 1917.7120000000002 -98.53394518927784
31 1880.4960000000003 -95.01146887007297
32 1856.6580000000001 -92.56399095405102
33 1851.636 -92.29301991423095
34 1837.534 -90.91845890610445
35 1806.891 -87.748432671433
36 1805.8149999999998 -87.69006271624386
37 1775.518 -84.75472560540906
38 1744.4879999999998 -81.74255500283036
39 1734.0649999999998 -80.60930866726467
40 1742.7720000000002 -81.54549363002748
41 1760.738 -83.26648443260503
42 1768.98 -84.15347555034563
43 1741.784 -81.45250717858472
44 1735.5240000000001 -80.95755459927219
45 1713.81 -78.72853059289021
46 1665.5490000000002 -73.50601595857188
47 1633.286 -70.37268618551573
48 1641.9170000000001 -71.42572420020983
49 1626.5899999999997 -70.05395043961349
50 1578.7279999999998 -65.2359396016051
51 1546.7090000000003 -62.10464621351883
52 1506.51 -58.14150532310524
53 1520.471 -59.82237045878869
54 1507.2329999999997 -58.493186397414185
55 1479.377 -55.86208962143049
56 1484.466 -56.48888220980714
57 1471.217 -55.08665404375593
58 1449.5300000000002 -52.828724958167456
59 1450.6640000000002 -52.879169182586814
60 1466.1620000000003 -54.4399841396575
61 1481.101 -56.05807060495164
62 1487.8559999999998 -56.72615283698934
63 1457.9940000000001 -53.53987059739846
64 1481.516 -55.82461507117871
65 1481.8539999999998 -55.728610459992396
66 1469.824 -54.65976136153455
67 1485.875 -56.394111447386344
68 1511.375 -59.00353260508073
69 1532.489 -61.288269922214546
70 1552.607 -63.496203870423486
71 1558.748 -64.10905950832802
72 1561.9740000000002 -64.42579442671612
73 1551.8319999999999 -63.43364281200039
74 1525.7520000000002 -60.89848174908074
75 1555.3750000000002 -63.88986163465417
76 1565.195 -64.86901050575338
77 1570.4209999999998 -65.36607824097693
78 1551.0499999999997 -63.67404338364448
79 1546.302 -63.084453952332616
80 1537.0849999999998 -62.13022526026557
81 1530.5320000000002 -61.405270152987384
82 1544.759 -62.912765628190435
83 1555.295 -63.94392722687253
84 1537.615 -62.29821573935851
85 1526.429 -61.35130962890221
86 1524.584 -61.22924470930386
87 1506.6080000000002 -59.43283123196892
88 1482.8109999999997 -56.81857096838701
89 1463.8670000000002 -55.044124449126095
90 1462.85 -54.85443972860643
91 1456.823 -54.21585903244984
92 1436.182 -52.27097836557414
93 1463.911 -55.12430956620043
94 1475.211 -56.07233397346333
95 1472.019 -55.76252298889945
96 1460.7580000000003 -54.75388770625617
97 1492.968 -58.27795511417141
98 1518.416 -61.15313391051467
99 1514.782 -60.76813889324882
100 1492.7549999999999 -58.666085514679196
101 1477.64 -57.298630273766925
102 1460.1820000000002 -55.46423839475519
103 1441.498 -53.650880146209715
104 1443.074 -53.78224890395561
105 1429.647 -52.69568946151435
106 1413.6550000000002 -50.84987171515672
107 1385.8930000000003 -47.80304685695864
108 1396.7350000000001 -48.47318829400282
109 1392.766 -48.08443866814971
110 1431.8740000000003 -52.13973478131751
111 1448.0100000000002 -53.676881809790345
112 1480.44 -56.79721919274239
113 1480.3 -56.87098929740097
114 1505.79 -59.474760069826814
115 1506.107 -59.27667427990489
116 1525.0320000000002 -61.44142853362446
117 1528.813 -61.820036489580296
118 1541.508 -63.186290376706026
119 1554.65 -64.37883799958465
120 1534.016 -62.41188941377335
121 1532.169 -62.51561702294832
122 1510.6160000000002 -60.642717726455395
123 1497.7440000000001 -59.301020803651134
124 1473.786 -57.12762685552199
125 1474.9879999999998 -57.20561568773762
126 1475.9899999999998 -57.251543098413336
127 1471.9850000000001 -57.011186788474845
128 1430.555 -52.863503519109884
129 1437.3890000000001 -53.802677299784285
130 1404.984 -50.43076243396462
131 1431.679 -53.28901585278129
132 1432.5490000000002 -53.25660291611683
133 1435.0480000000002 -53.704705186577385
134 1430.3800000000003 -53.144735063476716
135 1418.39 -51.83869589358674
136 1389.077 -48.78881222772908
137 1378.9649999999997 -47.725206987677886
138 1389.5659999999998 -49.10236515712432
139 1382.9669999999999 -48.41175112465801
140 1401.3799999999999 -50.073627068165436
141 1375.08 -47.028196193773496
142 1363.2559999999999 -45.78193260027572
143 1361.282 -45.53373327639139
144 1363.076 -45.84408563403061
145 1381.374 -47.847184614905416
146 1391.338 -48.96518427945749
147 1393.978 -49.39051831020452
148 1407.1129999999998 -50.728129782629786
149 1388.5219999999997 -48.84160553705965
150 1400.1379999999997 -50.12373046605469
151 1400.952 -50.1989683651205
152 1413.384 -51.547212701103795
153 1417.5749999999998 -51.79714162535505
154 1410.743 -51.13174037945097
155 1385.727 -48.668578037177994
156 1381.0320000000002 -48.325778662733
157 1371.7120000000002 -47.27741695421373
158 1341.9140000000002 -43.94113693169807
159 1340.7880000000002 -43.849394374502054
160 1348.0720000000001 -44.58083139725638
161 1361.453 -45.97050408774104
162 1361.5939999999998 -46.113709120510826
163 1331.452 -43.06798950289233
164 1347.5350000000003 -44.469186481054734
165 1340.645 -43.61351495011123
166 1350.034 -44.3654356032723
167 1383.449 -47.63963803673311
168 1413.796 -50.738165152948724
169 1417.2630000000001 -51.2017685692864
170 1416.6760000000002 -51.12339580335616
171 1452.702 -54.83278899901543
172 1454.6680000000001 -54.831134172146335
173 1477.8300000000002 -57.2332098767247
174 1465.785 -56.08900814595789
175 1470.5629999999999 -56.722563607621
176 1477.1879999999999 -57.28814035905822
177 1458.6829999999998 -55.381431464570824
178 1420.824 -51.672554684006556
179 1450.109 -54.43983156174922
180 1435.5769999999998 -52.94845786036791
181 1374.1299999999999 -46.62378459324954
182 1373.0939999999998 -46.749990942483095
183 1380.435 -47.42794363259351
184 1376.604 -47.117865258164414
185 1411.0349999999999 -50.59373498418517
186 1400.3429999999998 -49.76766913174922
187 1406.843 -50.48064707765428
188 1419.696 -51.7011883708024
189 1402.2009999999998 -49.8592724007544
190 1401.636 -49.89610856426357
191 1393.7440000000001 -49.21098656123498
192 1400.286 -49.78032757445363
193 1383.1709999999998 -48.04811969211717
194 1373.689 -47.10150662517961
195 1354.026 -45.07740853598925
196 1345.9370000000001 -44.195143640936436
197 1351.181 -44.74040768961626
198 1369.1309999999999 -46.51237631673419
199 1368.014 -46.57380593905482
200 1357.304 -45.656124278779735
201 1390.484 -48.986500077679956
202 1361.041 -46.19889078504876
203 1359.151 -46.13210419334679
204 1371.462 -47.40809044160188
205 1376.8849999999998 -47.96637781566115
206 1375.291 -47.80618099334276
207 1362.041 -46.736702212950405
208 1356.389 -46.2384277852894
209 1326.441 -43.19936747170213
210 1339.1619999999998 -44.40781709847879
211 1289.696 -39.57322138978218
212 1305.2419999999997 -40.957543588129205
213 1308.3229999999999 -41.14634618754097
214 1311.493 -41.56282572618776
215 1287.3650000000002 -39.15062236206143
216 1283.179 -38.738418918693895
217 1301.675 -40.37628141474809
218 1311.459 -41.60064335019145
219 1340.636 -44.61429069439599
220 1308.607 -41.289305190448495
221 1353.9229999999998 -45.923455479225275
222 1356.73 -46.330796796601966
223 1367.9279999999999 -47.47331842444684
224 1380.5679999999998 -48.80343245879731
225 1407.6779999999999 -51.4939997496507
226 1395.5819999999999 -50.29179786414557
227 1349.6870000000001 -45.739178353447556
228 1338.461 -44.30862907778655
229 1333.578 -43.791022674449685
230 1365.8039999999999 -47.11348289409233
231 1337.723 -44.04269377687508
232 1347.3629999999998 -44.74086822154105
233 1347.4180000000001 -44.83790124764055
234 1307.114 -40.616315096920275
235 1293.456 -39.229723526244314
236 1323.521 -42.30390653453093
237 1334.8849999999998 -43.41050134549563
238 1321.5059999999999 -42.26712603317834
239 1330.898 -43.11349583125535
240 1307.8709999999999 -40.78149049445227
241 1317.3619999999999 -41.786393854657156
242 1321.2839999999999 -42.405180918640255
243 1325.667 -42.7062627185437
244 1329.573 -43.11817406606687
245 1326.7559999999999 -42.9067945892761
246 1310.9 -41.3266859932972
247 1338.5480000000002 -44.048355232118226
248 1339.786 -44.132162923455844
249 1304.538 -40.788270830878865
250 1313.217 -41.71941418848991
251 1310.862 -41.696622330354124
252 1281.306 -38.7616970220785
253 1300.654 -40.808579020719534
254 1342.409 -45.216440461769764
255 1337.0099999999998 -44.742802390249935
256 1360.6209999999999 -47.04827086595576
257 1340.1100000000001 -45.22945170456539
258 1328.1299999999999 -44.06676710348147
259 1368.731 -48.127241165588906
260 1381.52 -49.47465391707494
261 1387.917 -49.97438074909316
262 1394.488 -50.58330757575346
263 1347.12 -45.82906810619223
264 1339.7230000000002 -44.90181211130513
265 1317.846 -42.74728464011112
266 1281.536 -39.32521395895114
267 1313.8580000000002 -42.431921743095536
268 1336.3419999999999 -44.526543128632866
269 1317.334 -42.59032727885544
270 1330.1059999999998 -43.94312639704501
271 1329.5170000000003 -43.852948208867204
272 1328.27 -43.69408044841269
273 1328.6840000000002 -43.774766888077714
274 1319.596 -42.838795799333525
275 1339.29 -44.819286616612445
276 1345.9189999999999 -45.234327007772116
277 1345.455 -45.056084962176755
278 1324.739 -43.2513560655205
279 1328.6779999999999 -43.593000222226415
280 1300.544 -40.706883521626324
281 1293.924 -40.15935554120846
282 1310.096 -41.865610586043644
283 1347.069 -45.72253975952068
284 1354.975 -46.62104144859767
285 1380.055 -49.06082981352911
286 1368.8029999999999 -47.92186651139156
287 1350.056 -46.19036186625834
288 1346.125 -45.55626227731606
289 1344.507 -45.33444454136619
290 1348.868 -45.68587136727955
291 1351.743 -46.01693429541608
292 1340.0959999999998 -44.808054186083645
293 1326.6060000000002 -43.35829868218116
294 1324.541 -43.38964197782146
295 1323.5939999999998 -43.52819548734552
296 1336.476 -44.97043796658971
297 1338.954 -45.37600438763229
298 1353.643 -47.12375784280099
299 1345.63 -46.51055267628804
300 1337.6600000000003 -45.718453821299924
301 1350.5459999999998 -46.94931147642097
302 1343.077 -46.277233593986935
303 1317.19 -43.824814504150154
304 1306.2740000000001 -42.52796663133696
305 1315.8659999999998 -43.39826921778147
306 1299.623 -41.79274503348504
307 1274.854 -39.29557172101255
308 1309.538 -42.74906339907506
309 1297.3750000000005 -41.60576948922354
310 1318.036 -44.04265780680224
311 1290.333 -41.26960602314238
