episode steps reward
0 5355.746999999999 -475.82008975634665
1 5292.339 -471.03570419734143
2 5311.531000000001 -473.3416955673106
3 5226.466 -464.1012751351017
4 5185.867 -460.76795359184314
5 5211.1449999999995 -463.56772225035763
6 5145.878999999999 -456.99800467555735
7 5072.795999999999 -449.6633277227803
8 5044.3279999999995 -446.194147704531
9 5017.014 -442.65144448710316
10 5037.2699999999995 -444.47538638679526
11 4993.842 -439.92625652729674
12 4919.149999999999 -432.7890257578603
13 4874.392999999999 -428.182628196748
14 4905.929999999999 -431.23513917691054
15 4814.471 -421.2385959231914
16 4851.647 -425.1221802388039
17 4916.037 -431.60649548028977
18 4885.063 -428.53816993087503
19 4823.019 -422.1292407882309
20 4768.695 -415.89254363949885
21 4773.842999999999 -416.37149434646165
22 4723.239 -410.2007632054364
23 4662.836 -403.6423779935627
24 4629.299000000001 -400.23151302101365
25 4649.626 -402.7439652853196
26 4566.378 -393.9587859855466
27 4496.622 -386.74541964786823
28 4506.696 -387.85435601746445
29 4520.709000000001 -389.3056338211414
30 4500.1810000000005 -387.6368505941758
31 4496.426 -387.6521008423883
32 4509.5779999999995 -389.13326005597435
33 4626.581999999999 -402.159861190479
34 4594.674999999999 -398.5520410056483
35 4573.437 -396.1663643851761
36 4569.503 -395.4402146118031
37 4582.6230000000005 -397.1277071920771
38 4608.369000000001 -399.6595429864484
39 4562.4529999999995 -394.44759277772835
40 4549.0199999999995 -392.75425011745
41 4535.598 -390.9021260575052
42 4492.911999999998 -386.58656898741003
43 4385.285999999999 -375.34778007783746
44 4417.526 -378.9841784905892
45 4343.772999999999 -371.2852179348344
46 4341.216 -370.94394297893064
47 4303.974999999999 -366.61690275594646
48 4225.03 -358.13512694860935
49 4229.8589999999995 -358.71892469062266
50 4245.986999999999 -360.2487309998243
51 4241.124000000001 -359.3414398594011
52 4293.939 -364.92361393946675
53 4300.027 -364.6987181688196
54 4285.593999999999 -362.9153804900949
55 4278.36 -361.72734007242354
56 4283.567 -362.63547421844794
57 4329.05 -367.51653585390034
58 4372.972 -372.26029562081965
59 4425.93 -378.2007127142213
60 4407.499 -376.4613986166177
61 4333.688 -369.04795849910704
62 4283.294 -363.874012451776
63 4280.3859999999995 -363.33783663143544
64 4237.985999999999 -359.0015241767756
65 4241.596 -359.4693496686602
