episode steps reward
0 5513.905 -2.394549818932194e+80
1 5598.248 -3.2618352807897003e+80
2 5601.209 -3.2864914801630503e+80
3 5629.781999999999 -4.064239568659969e+80
4 5630.601000000001 -4.604657068590238e+80
5 5646.618 -4.891727657338347e+80
6 5693.07 -5.625140123212509e+80
7 5689.418 -6.007542226218924e+80
8 5642.775 -5.963476481415421e+80
9 5623.771 -5.497171683275083e+80
10 5618.588000000001 -4.4671663333863796e+80
11 5610.218999999999 -4.407347594477616e+80
12 5631.988000000001 -4.382691395104267e+80
13 5655.147999999999 -3.7916677376198884e+80
14 5646.786999999999 -3.2893293406010903e+80
15 5689.88 -3.002258751852982e+80
16 5667.9220000000005 -2.215240967600113e+80
17 5779.130999999999 -1.2464893187562859e+80
18 5783.137000000001 -1.2584372603873446e+80
19 5816.307000000001 -1.1720222750694822e+80
20 5796.377 -1.1868745488127308e+80
21 5794.732 -3.794078258639871e+79
22 5814.503999999999 -1.329000120666221e+80
23 5852.011 -2.091666444908981e+80
24 5899.639 -3.1061521674570207e+80
25 5938.355 -3.1166283757522863e+80
26 5903.502999999999 -3.1166283757522863e+80
27 5763.219999999999 -3.130603342184646e+80
28 5787.632 -3.317746874936129e+80
29 5709.786000000001 -4.207486879802425e+80
30 5764.937000000001 -5.247645917131034e+80
31 5806.746000000001 -5.353057890471881e+80
32 5828.4529999999995 -4.419259273904608e+80
33 5798.945000000001 -4.331338696944502e+80
34 5769.478000000001 -3.3081918763921056e+80
35 5719.936 -3.3152058499520147e+80
36 5749.719 -4.3467853314254827e+80
37 5838.308999999999 -4.563768950123774e+80
38 5898.2970000000005 -4.977232446904981e+80
39 5967.876000000001 -4.000785498949009e+80
40 5991.129 -2.9908800505744965e+80
41 5924.855000000001 -2.88546807723365e+80
42 5865.579 -2.8696743989986883e+80
43 5850.732000000001 -2.0335050851795527e+80
44 5798.175 -2.5385888388964586e+80
45 5743.261 -2.576819336790115e+80
46 5735.183000000001 -1.5633071899241493e+80
47 5698.328 -1.3205619816182938e+80
48 5634.528 -2.0402827820092673e+87
49 5617.277000000001 -4.085541106474156e+87
